# Login Credentials for Prathyuksha Edutech Hack

| Role | Email | Password |
|------|-------|----------|
| Admin | admin@university.edu | admin123 |
| Admin (Fallback) | admin | admin123 |
| COE | coe@vantage.edu | coe123 |
| Club Coordinator | alex.coord@university.edu | admin123 |
| Student | student@university.edu | student123 |
| Student (Generic) | student | student123 |
| Seating Manager | seating_manager | admin123 |

Note: Some roles use generic usernames as fallbacks in the backend authentication logic.
